Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class
06:58.5,0,UDP  ,10025_123,5103,EXT_SERVER,5060,1,438,1,......,0,suspicious
06:58.5,0,ICMP ,EXT_SERVER,0,10025_123,3.3,1,466,1,......,0,suspicious
09:41.0,18.879,TCP  ,EXT_SERVER,22,10767_152,57122,26,3745,1,.APRSF,0,suspicious
09:41.0,18.879,TCP  ,10767_152,57122,EXT_SERVER,22,26,3022,1,.AP.SF,0,suspicious
09:56.1,17.576,TCP  ,14105_56,22564,EXT_SERVER,22,24,2916,1,.AP.SF,0,suspicious
09:56.1,17.576,TCP  ,EXT_SERVER,22,14105_56,22564,26,3745,1,.APRSF,0,suspicious
07:04.9,9.634,TCP  ,10006_27,19173,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
07:04.9,9.634,TCP  ,EXT_SERVER,22,10006_27,19173,20,3289,1,.AP.SF,0,suspicious
10:00.4,19.432,TCP  ,EXT_SERVER,22,10767_152,19304,27,3865,1,.APRSF,0,suspicious
10:00.4,19.432,TCP  ,10767_152,19304,EXT_SERVER,22,24,2966,1,.AP.SF,0,suspicious
11:50.1,31,TCP  ,EXT_SERVER,22,19151_19,45969,6,264,1,.A..S.,0,suspicious
11:50.1,31,TCP  ,19151_19,45969,EXT_SERVER,22,1,46,1,....S.,0,suspicious
10:25.7,0,TCP  ,10083_37,465,EXT_SERVER,465,1,46,1,....S.,0,suspicious
10:25.7,0,TCP  ,EXT_SERVER,465,10083_37,465,1,40,1,.A.R..,0,suspicious
10:14.2,18.501,TCP  ,14105_56,26754,EXT_SERVER,22,25,3100,1,.AP.SF,0,suspicious
10:14.2,18.501,TCP  ,EXT_SERVER,22,14105_56,26754,27,3809,1,.APRSF,0,suspicious
07:40.1,0.074,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55716,7,702,1,.AP.SF,0,normal
07:40.1,0.074,TCP  ,OPENSTACK_NET,55716,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
07:40.1,0.053,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55717,7,556,1,.AP.SF,0,normal
07:40.1,0.053,TCP  ,OPENSTACK_NET,55717,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
07:40.6,0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62438,7,702,1,.AP.SF,0,normal
07:40.6,0.06,TCP  ,OPENSTACK_NET,62438,EXT_SERVER,8000,5,540,1,.AP.SF,0,normal
07:40.6,0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62439,7,556,1,.AP.SF,0,normal
07:40.6,0.058,TCP  ,OPENSTACK_NET,62439,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
07:41.4,0.05,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55718,7,639,1,.AP.SF,0,normal
07:41.4,0.05,TCP  ,OPENSTACK_NET,55718,EXT_SERVER,8000,5,568,1,.AP.SF,0,normal
10:20.3,21.446,TCP  ,EXT_SERVER,22,10767_152,48636,28,4837,1,.APRSF,0,suspicious
10:20.3,21.446,TCP  ,10767_152,48636,EXT_SERVER,22,25,3698,1,.AP.SF,0,suspicious
07:42.1,0.064,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62440,7,639,1,.AP.SF,0,normal
07:42.1,0.064,TCP  ,OPENSTACK_NET,62440,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
10:49.7,0,TCP  ,19152_38,15735,EXT_SERVER,3389,1,46,1,....S.,0,suspicious
10:49.7,0,TCP  ,EXT_SERVER,3389,19152_38,15735,1,40,1,.A.R..,0,suspicious
10:33.2,18.778,TCP  ,14105_56,31104,EXT_SERVER,22,24,2916,1,.AP.SF,0,suspicious
10:33.2,18.778,TCP  ,EXT_SERVER,22,14105_56,31104,26,3745,1,.APRSF,0,suspicious
10:42.2,19.308,TCP  ,EXT_SERVER,22,10767_152,15678,26,3745,1,.APRSF,0,suspicious
10:42.2,19.308,TCP  ,10767_152,15678,EXT_SERVER,22,24,2966,1,.AP.SF,0,suspicious
10:57.7,12.559,TCP  ,18851_139,52956,EXT_SERVER,22,8,1096,1,.APRSF,0,suspicious
10:57.7,12.559,TCP  ,EXT_SERVER,22,18851_139,52956,11,5525,1,.AP.SF,0,suspicious
10:52.5,19.262,TCP  ,14105_56,35446,EXT_SERVER,22,24,2932,1,.AP.SF,0,suspicious
10:52.5,19.262,TCP  ,EXT_SERVER,22,14105_56,35446,26,3745,1,.APRSF,0,suspicious
11:11.7,0,TCP  ,19153_28,44273,EXT_SERVER,23,1,46,1,....S.,0,suspicious
11:11.7,0,TCP  ,EXT_SERVER,23,19153_28,44273,1,40,1,.A.R..,0,suspicious
11:11.8,0,TCP  ,19154_38,32843,EXT_SERVER,137,1,46,1,....S.,0,suspicious
11:11.8,0,TCP  ,EXT_SERVER,137,19154_38,32843,1,40,1,.A.R..,0,suspicious
08:07.3,9.367,TCP  ,10006_27,45313,EXT_SERVER,22,16,2215,1,.AP.SF,0,suspicious
08:07.3,9.367,TCP  ,EXT_SERVER,22,10006_27,45313,19,3185,1,.AP.SF,0,suspicious
08:07.3,12.829,TCP  ,18851_139,29112,EXT_SERVER,22,16,2299,1,.AP.SF,0,suspicious
08:07.3,12.829,TCP  ,EXT_SERVER,22,18851_139,29112,25,6445,1,.AP.SF,0,suspicious
11:02.0,21.552,TCP  ,EXT_SERVER,22,10767_152,43361,30,4113,1,.APRSF,0,suspicious
11:02.0,21.552,TCP  ,10767_152,43361,EXT_SERVER,22,25,3154,1,.AP.SF,0,suspicious
11:12.3,18.802,TCP  ,14105_56,44112,EXT_SERVER,22,26,3068,1,.AP.SF,0,suspicious
11:12.3,18.802,TCP  ,EXT_SERVER,22,14105_56,44112,26,3745,1,.APRSF,0,suspicious
11:19.9,13.601,TCP  ,10006_27,48137,EXT_SERVER,22,15,1903,1,.APRSF,0,suspicious
11:19.9,13.601,TCP  ,EXT_SERVER,22,10006_27,48137,17,5661,1,.AP.SF,0,suspicious
08:33.4,0.718,TCP  ,12480_167,57442,EXT_SERVER,80,7,489,1,.AP.SF,0,unknown
08:33.4,0.718,TCP  ,EXT_SERVER,80,12480_167,57442,6,3808,1,.AP.SF,0,unknown
11:24.1,20.519,TCP  ,EXT_SERVER,22,10767_152,9106,26,3745,1,.APRSF,0,suspicious
11:24.1,20.519,TCP  ,10767_152,9106,EXT_SERVER,22,24,2934,1,.AP.SF,0,suspicious
11:31.6,18.998,TCP  ,14105_56,47182,EXT_SERVER,22,24,2932,1,.AP.SF,0,suspicious
11:31.6,18.998,TCP  ,EXT_SERVER,22,14105_56,47182,26,3745,1,.APRSF,0,suspicious
11:45.1,19.247,TCP  ,EXT_SERVER,22,10767_152,36822,26,3745,1,.APRSF,0,suspicious
11:45.1,19.247,TCP  ,10767_152,36822,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
11:51.9,12.163,TCP  ,18851_139,48457,EXT_SERVER,22,3,173,1,.APRS.,0,suspicious
11:51.9,12.163,TCP  ,EXT_SERVER,22,18851_139,48457,6,3371,1,.AP.S.,0,suspicious
11:51.1,18.887,TCP  ,14105_56,50808,EXT_SERVER,22,24,2932,1,.AP.SF,0,suspicious
11:51.1,18.887,TCP  ,EXT_SERVER,22,14105_56,50808,26,3745,1,.APRSF,0,suspicious
09:10.8,8.245,TCP  ,10006_27,22574,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
